"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
480632,"September 21, 2013",Florida,"Palm Beach","2600 block of Forest Hill Boulevard",4,0,0,0,0,N/A
480605,"September 20, 2013",Texas,Rice,"700 block of NW 0149",0,4,0,1,0,N/A
480582,"September 20, 2013",California,"Long Beach","6500 block of Rose Avenue",2,2,0,0,0,N/A
480521,"September 19, 2013",Illinois,Chicago,"1809 W 50th St",13,0,0,0,6,N/A
480470,"September 18, 2013",Tennessee,Memphis,"1033 Whitaker",4,1,0,0,0,N/A
480462,"September 17, 2013",Florida,Kissimmee,"Flying Fortress Avenue",5,0,0,0,0,N/A
480453,"September 17, 2013",Nevada,"Las Vegas","1300 block of Bartlett Avenue",4,0,0,0,0,N/A
480415,"September 17, 2013",Michigan,Lansing,"1500 block of Ottawa Street",4,0,0,0,1,N/A
480394,"September 17, 2013",California,Stockton,"700 block of North Airport Way",3,2,0,0,0,N/A
480366,"September 16, 2013","District of Columbia","Washington Navy Yard","1336 Isaac Hull Ave",3,12,0,1,0,N/A
480104,"September 15, 2013",Colorado,"Colorado Springs","1609 South Nevada",5,0,0,0,0,N/A
480071,"September 15, 2013",Washington,Yakima,"2209 W Nob Hill Blvd",6,0,0,0,0,N/A
480058,"September 15, 2013",Georgia,Snellville,"4630 Anderson Livsey Lane",1,3,0,0,1,N/A
479821,"September 14, 2013","North Carolina",Marion,"80 Finley Road",4,0,0,0,1,N/A
479747,"September 12, 2013",Tennessee,"Crab Orchard",N/A,0,4,0,0,1,N/A
479757,"September 12, 2013","District of Columbia",Washington,"First Street and Pierce Street NW",3,1,0,0,0,N/A
479774,"September 11, 2013","New York","New York","204 Varick St",4,0,0,0,0,N/A
479734,"September 10, 2013",Connecticut,Bridgeport,"Reservoir Ave and Grandview Ave",4,1,0,0,3,N/A
479709,"September 7, 2013",Indiana,Gary,"9300 block of Sunrise Boulevard",4,2,0,0,0,N/A
479727,"September 7, 2013",Missouri,"Saint Louis","5000 block of Durant Ave",3,1,0,0,1,N/A
479682,"September 5, 2013","North Carolina",Charlotte,"2500 block of Pinckney Avenue",4,0,0,0,1,N/A
479646,"August 25, 2013",California,Oakland,"1300 block of 104th Avenue",4,0,0,0,0,N/A
492276,"August 25, 2013",Florida,"Lake Butler","1050 Southeast 6th Street",1,3,0,1,0,N/A
492270,"August 25, 2013",Minnesota,Minneapolis,"2600 block of Cedar and 2600 block of 18th Avenue South",2,2,0,0,0,N/A
492260,"August 25, 2013","South Carolina",Latta,"214 Willis St",3,1,0,0,2,N/A
491992,"August 20, 2013",Maryland,Baltimore,"1200 block of S. Carey St",2,2,0,0,1,N/A
491965,"August 19, 2013",Illinois,Chicago,"1011 W. Wilson",4,1,0,0,1,N/A
491948,"August 18, 2013","New Jersey","Port Norris","1600 block of North Avenue",4,0,0,0,0,N/A
491937,"August 18, 2013",Ohio,Toledo,"2272 Scottwood Ave",4,0,0,0,0,N/A
491898,"August 18, 2013","South Carolina",Chesterfield,"3217 Center Point Rd",4,1,0,0,5,N/A
491840,"August 18, 2013",Illinois,Chicago,"100 block of South Springfield",3,1,0,0,0,N/A
491819,"August 17, 2013",California,"San Francisco","1738 Telegraph Avenue",4,0,0,0,1,N/A
492001,"August 14, 2013",Oklahoma,"Oklahoma City","4601 SE 79",0,4,0,0,1,N/A
491770,"August 13, 2013",Pennsylvania,Philadelphia,"1100 block of Divinity Street",4,0,0,0,0,N/A
491749,"August 11, 2013",Virginia,Portsmouth,"1100 block of Mt. Vernon Ave",4,1,0,0,0,N/A
491710,"August 11, 2013","New York",Brooklyn,"395 East 48th Street",4,0,0,0,0,N/A
491729,"August 10, 2013",Delaware,Wilmington,"1200 block of Second Street",4,0,0,0,0,N/A
491734,"August 9, 2013",Missouri,"Saint Louis","4200 block of Kossuth Ave",2,2,0,0,0,N/A
491698,"August 7, 2013",Texas,Dallas,"7100 block of Long Canyon Trail",4,4,0,0,1,N/A
491630,"August 6, 2013","New Jersey",Montclair,"Mission Street",4,0,0,0,0,N/A
491609,"August 6, 2013",Pennsylvania,Saylorsburg,"1000 Ross Municipal Dr",3,3,1,0,1,N/A
491546,"August 4, 2013",Missouri,"Kansas City","2400 block of  Park Avenue",3,1,0,0,0,N/A
491473,"August 4, 2013",California,Salinas,"624 Williams Road",4,3,0,0,1,N/A
491461,"August 3, 2013",Michigan,Detroit,"Murray Hill St",5,0,0,0,0,N/A
491438,"August 2, 2013",Indiana,Indianapolis,"62nd and College Ave",4,0,0,0,1,N/A
491416,"August 2, 2013","New Jersey",Newark,"Livingston St. and 18th Avenue",3,2,0,0,0,N/A
491292,"July 30, 2013","New Mexico",Hobbs,"2000 block of North Bensing Rd",4,0,0,0,1,N/A
491281,"July 29, 2013",Washington,Granger,"300 block of S. Outlook Rd.",4,0,0,0,0,N/A
491287,"July 28, 2013",Texas,Dallas,"2400 block of Royal Lane",4,0,0,0,0,N/A
491265,"July 26, 2013",Florida,Hialeah,"1485 W 46th St",0,6,0,1,0,N/A
491253,"July 26, 2013","West Virginia",Clarksburg,"743 Locust Avenue",0,4,0,0,1,N/A
491243,"July 25, 2013",Michigan,Inkster,"Oakwood Street",4,0,0,0,0,N/A
491226,"July 24, 2013",Kansas,Topeka,"221 SE Lawrence St",4,0,0,0,0,N/A
491214,"July 21, 2013","New York",Brooklyn,"1445 Lincoln Place",4,0,0,0,0,N/A
491181,"July 20, 2013","New York",Brooklyn,"Grove Street",5,0,0,0,1,N/A
491082,"July 19, 2013",Connecticut,Hartford,"3155 Main St",4,0,0,0,0,N/A
491073,"July 19, 2013",California,Madera,"Yosemite Avenue and Cleveland",4,0,0,0,0,N/A
